
accounting_date	document_date	customer_code	item_code	total_quantity	unit_price	sales_revenue	discount	actual_revenue	salesperson_code
2021-01-05	2021-01-05	1QBTKA003	TBZ0001	1	7	0	0	0	VPLO000010
2021-01-06	2021-01-06	1QBTKA003	TBZ0001	1	7	0	0	0	VPTH000004
2021-01-07	2021-01-07	1QBTMD003	TBZ0001	1	7	0	0	0	VPLO000016
2021-01-08	2021-01-08	1QBTKA003	TBZ0001	1	7	0	0	0	VPDOA000001
2021-01-11	2021-01-11	1QBTKA003	TBZ0001	1	7	0	0	0	VPLO000010
2021-01-11	2021-01-11	1QBTKA003	TBZ0001	1	7	0	0	0	VPTH000004
2021-01-11	2021-01-11	1QBTKA003	TBZ0001	1	7	0	0	0	VPLO000016
2021-01-14	2021-01-14	1QHMAT005	TBZ0001	1	7	0	0	0	VPDOA000001
2021-01-15	2021-01-15	1QBTKA003	TBZ0001	1	7	0	0	0	VPLO000010
2021-01-21	2021-01-21	1QGVTP001	TBZ0001	1	7	0	0	0	VPTH000004
