product_code,product_name,unit,category
ACF0001,CRILA Forte (Hộp 5 túi, 2 vỉ * 10 viên),Hộp,Hàng nhóm Vinacare
ADG0001,DOGASTROL tương đương sinh học với PANTOLAC,Hộp,Hàng nhóm Vinacare
AML0001,Melygra 1H,Hộp,Hàng nhóm Vinacare
BCS0003,Bao cao su Melygra Invisible Extra Thin (12c/H),Hộp,Hàng nhóm 1
BCS0008,Bao cao su LifeStyles Mixed Berry (3c/H),Hộp,Hàng nhóm 1
BCS0014,Bao cao su LifeStyles Fantasy (3c/H),Hộp,Hàng nhóm 1
HKM0009,Khuyến mãi – Sản phẩm TMDT,Hộp,Hàng khuyến mại - TMDT
HKM0022,FOVI-C,Hộp,Hàng khuyến mại - TMDT
SKD0005,Kem dưỡng trắng da ban đêm Oribe (30g),Hộp,Mỹ phẩm - nhóm 1
SKD0004,Kem dưỡng trắng da ban ngày Oribe (30g),Hộp,Mỹ phẩm - nhóm 1
SNG0001,Kem nứt gót Oriss,Hộp,Mỹ phẩm - nhóm 1
TCR0001,Crux,Hộp,Hàng bán điểm
TCR0002,CRIPAL,Hộp,Hàng bán điểm
TSD0001,Viên uống sáng đẹp da Rosa,Hộp,Hàng nhóm Vinacare
ABK0002,Bakidol 160,Hộp,Hàng nhóm Vinacare
